"OUTLET","CORRELATION","OUTLET_PRESS_SIZE","QUANTITY_OF_SEASONS","OUTLET_SOCIAL_SIZE","FINAL_INDEX","SEASON","PROGRAM"
"deadline",7,5,10,5,6.8,"3","HALT AND CATCH FIRE"
"engadget",8,7,5,7,6.8,"3","HALT AND CATCH FIRE"
"gamespot",9,7,3,8,6.8,"3","HALT AND CATCH FIRE"
"gizmodo",10,8,2,7,6.8,"3","HALT AND CATCH FIRE"
"independent",8,8,4,7,6.8,"3","HALT AND CATCH FIRE"
"newyorktimes",7,5,8,7,6.8,"3","HALT AND CATCH FIRE"
"people",6,6,6,9,6.8,"3","HALT AND CATCH FIRE"
"buzzfeed",6,8,3,9,6.5,"3","HALT AND CATCH FIRE"
"verge",8,6,5,7,6.5,"3","HALT AND CATCH FIRE"
"wallstreetjournal",6,5,5,10,6.5,"3","HALT AND CATCH FIRE"
"cbr",8,6,3,8,6.2,"3","HALT AND CATCH FIRE"
"newsweek",9,5,2,9,6.2,"3","HALT AND CATCH FIRE"
"wrap",8,4,8,5,6.2,"3","HALT AND CATCH FIRE"
"avclub",6,6,8,4,6,"3","HALT AND CATCH FIRE"
"ign",7,8,9,9,8.2,"4","HALT AND CATCH FIRE"
"forbes",7,8,6,10,7.8,"4","HALT AND CATCH FIRE"
"imdb",6,10,7,8,7.8,"4","HALT AND CATCH FIRE"
"mashable",7,7,6,9,7.2,"4","HALT AND CATCH FIRE"
"rollingstone",7,6,7,9,7.2,"4","HALT AND CATCH FIRE"
"engadget",8,7,5,7,6.8,"4","HALT AND CATCH FIRE"
"gamespot",9,7,3,8,6.8,"4","HALT AND CATCH FIRE"
"gizmodo",10,8,2,7,6.8,"4","HALT AND CATCH FIRE"
"independent",8,8,4,7,6.8,"4","HALT AND CATCH FIRE"
"buzzfeed",6,8,3,9,6.5,"4","HALT AND CATCH FIRE"
"wallstreetjournal",6,5,5,10,6.5,"4","HALT AND CATCH FIRE"
"cbr",8,6,3,8,6.2,"4","HALT AND CATCH FIRE"
"newsweek",9,5,2,9,6.2,"4","HALT AND CATCH FIRE"
"comicbook",8,5,7,4,6,"4","HALT AND CATCH FIRE"
"digitalspy",7,7,7,3,6,"4","HALT AND CATCH FIRE"
"huffingtonpost",9,8,6,1,6,"4","HALT AND CATCH FIRE"
"usweekly",7,5,5,7,6,"4","HALT AND CATCH FIRE"
"cnn",9,8,5,1,5.8,"4","HALT AND CATCH FIRE"
"cinemablend",8,6,7,1,5.5,"4","HALT AND CATCH FIRE"
"dailybeast",5,6,5,6,5.5,"4","HALT AND CATCH FIRE"
"gamesradar",9,6,1,6,5.5,"4","HALT AND CATCH FIRE"
"usatoday",6,7,8,1,5.5,"4","HALT AND CATCH FIRE"
"businessinsider",7,8,5,1,5.2,"4","HALT AND CATCH FIRE"
"dailymail",6,9,5,1,5.2,"4","HALT AND CATCH FIRE"
"eonline",9,7,4,1,5.2,"4","HALT AND CATCH FIRE"
"ign",7,8,9,9,8.2,"4","HELL ON WHEELS"
"forbes",7,8,6,10,7.8,"4","HELL ON WHEELS"
"imdb",6,10,7,8,7.8,"4","HELL ON WHEELS"
"hollywoodreporter",8,6,9,7,7.5,"4","HELL ON WHEELS"
"mashable",7,7,6,9,7.2,"4","HELL ON WHEELS"
"rollingstone",7,6,7,9,7.2,"4","HELL ON WHEELS"
"variety",8,4,10,7,7.2,"4","HELL ON WHEELS"
"vanityfair",9,5,6,8,7,"4","HELL ON WHEELS"
"deadline",7,5,10,5,6.8,"4","HELL ON WHEELS"
"engadget",8,7,5,7,6.8,"4","HELL ON WHEELS"
"gamespot",9,7,3,8,6.8,"4","HELL ON WHEELS"
"gizmodo",10,8,2,7,6.8,"4","HELL ON WHEELS"
"independent",8,8,4,7,6.8,"4","HELL ON WHEELS"
"newyorktimes",7,5,8,7,6.8,"4","HELL ON WHEELS"
"buzzfeed",6,8,3,9,6.5,"4","HELL ON WHEELS"
"verge",8,6,5,7,6.5,"4","HELL ON WHEELS"
"wallstreetjournal",6,5,5,10,6.5,"4","HELL ON WHEELS"
"cbr",8,6,3,8,6.2,"4","HELL ON WHEELS"
"newsweek",9,5,2,9,6.2,"4","HELL ON WHEELS"
"avclub",6,6,8,4,6,"4","HELL ON WHEELS"
"comicbook",8,5,7,4,6,"4","HELL ON WHEELS"
"huffingtonpost",9,8,6,1,6,"4","HELL ON WHEELS"
"usweekly",7,5,5,7,6,"4","HELL ON WHEELS"
"cnn",9,8,5,1,5.8,"4","HELL ON WHEELS"
"salon",7,6,4,6,5.8,"4","HELL ON WHEELS"
"ign",7,8,9,9,8.2,"5A","HELL ON WHEELS"
"forbes",7,8,6,10,7.8,"5A","HELL ON WHEELS"
"imdb",6,10,7,8,7.8,"5A","HELL ON WHEELS"
"hollywoodreporter",8,6,9,7,7.5,"5A","HELL ON WHEELS"
"tvguide",8,6,10,6,7.5,"5A","HELL ON WHEELS"
"mashable",7,7,6,9,7.2,"5A","HELL ON WHEELS"
"rollingstone",7,6,7,9,7.2,"5A","HELL ON WHEELS"
"variety",8,4,10,7,7.2,"5A","HELL ON WHEELS"
"vanityfair",9,5,6,8,7,"5A","HELL ON WHEELS"
"deadline",7,5,10,5,6.8,"5A","HELL ON WHEELS"
"engadget",8,7,5,7,6.8,"5A","HELL ON WHEELS"
"gamespot",9,7,3,8,6.8,"5A","HELL ON WHEELS"
"gizmodo",10,8,2,7,6.8,"5A","HELL ON WHEELS"
"independent",8,8,4,7,6.8,"5A","HELL ON WHEELS"
"people",6,6,6,9,6.8,"5A","HELL ON WHEELS"
"buzzfeed",6,8,3,9,6.5,"5A","HELL ON WHEELS"
"verge",8,6,5,7,6.5,"5A","HELL ON WHEELS"
"wallstreetjournal",6,5,5,10,6.5,"5A","HELL ON WHEELS"
"cbr",8,6,3,8,6.2,"5A","HELL ON WHEELS"
"newsweek",9,5,2,9,6.2,"5A","HELL ON WHEELS"
"wrap",8,4,8,5,6.2,"5A","HELL ON WHEELS"
"avclub",6,6,8,4,6,"5A","HELL ON WHEELS"
"comicbook",8,5,7,4,6,"5A","HELL ON WHEELS"
"digitalspy",7,7,7,3,6,"5A","HELL ON WHEELS"
"indiewire",6,4,8,6,6,"5A","HELL ON WHEELS"
"mashable",7,7,6,9,7.2,"1","HUMANS"
"rollingstone",7,6,7,9,7.2,"1","HUMANS"
"vanityfair",9,5,6,8,7,"1","HUMANS"
"gamespot",9,7,3,8,6.8,"1","HUMANS"
"gizmodo",10,8,2,7,6.8,"1","HUMANS"
"buzzfeed",6,8,3,9,6.5,"1","HUMANS"
"wallstreetjournal",6,5,5,10,6.5,"1","HUMANS"
"cbr",8,6,3,8,6.2,"1","HUMANS"
"newsweek",9,5,2,9,6.2,"1","HUMANS"
"comicbook",8,5,7,4,6,"1","HUMANS"
"huffingtonpost",9,8,6,1,6,"1","HUMANS"
"cnn",9,8,5,1,5.8,"1","HUMANS"
"salon",7,6,4,6,5.8,"1","HUMANS"
"cinemablend",8,6,7,1,5.5,"1","HUMANS"
"gamesradar",9,6,1,6,5.5,"1","HUMANS"
"comingsoon",7,3,9,2,5.2,"1","HUMANS"
"eonline",9,7,4,1,5.2,"1","HUMANS"
"fox",9,7,4,1,5.2,"1","HUMANS"
"ibtimes",8,5,6,2,5.2,"1","HUMANS"
"popsugar",7,7,4,3,5.2,"1","HUMANS"
"refinery29",3,6,2,10,5.2,"1","HUMANS"
"bustle",7,6,6,1,5,"1","HUMANS"
"hollywoodlife",6,5,5,4,5,"1","HUMANS"
"moviefone",9,5,5,1,5,"1","HUMANS"
"msn",7,8,4,1,5,"1","HUMANS"
"forbes",7,8,6,10,7.8,"2","HUMANS"
"mashable",7,7,6,9,7.2,"2","HUMANS"
"rollingstone",7,6,7,9,7.2,"2","HUMANS"
"gamespot",9,7,3,8,6.8,"2","HUMANS"
"independent",8,8,4,7,6.8,"2","HUMANS"
"people",6,6,6,9,6.8,"2","HUMANS"
"buzzfeed",6,8,3,9,6.5,"2","HUMANS"
"verge",8,6,5,7,6.5,"2","HUMANS"
"wallstreetjournal",6,5,5,10,6.5,"2","HUMANS"
"cbr",8,6,3,8,6.2,"2","HUMANS"
"wrap",8,4,8,5,6.2,"2","HUMANS"
"comicbook",8,5,7,4,6,"2","HUMANS"
"huffingtonpost",9,8,6,1,6,"2","HUMANS"
"indiewire",6,4,8,6,6,"2","HUMANS"
"cnn",9,8,5,1,5.8,"2","HUMANS"
"salon",7,6,4,6,5.8,"2","HUMANS"
"tvline",6,5,9,3,5.8,"2","HUMANS"
"cinemablend",8,6,7,1,5.5,"2","HUMANS"
"dailybeast",5,6,5,6,5.5,"2","HUMANS"
"gamesradar",9,6,1,6,5.5,"2","HUMANS"
"nytimes",7,7,7,1,5.5,"2","HUMANS"
"businessinsider",7,8,5,1,5.2,"2","HUMANS"
"cleveland",9,4,7,1,5.2,"2","HUMANS"
"dailymail",6,9,5,1,5.2,"2","HUMANS"
"eonline",9,7,4,1,5.2,"2","HUMANS"
"forbes",7,8,6,10,7.8,"3","HUMANS"
"hollywoodreporter",8,6,9,7,7.5,"3","HUMANS"
"mashable",7,7,6,9,7.2,"3","HUMANS"
"rollingstone",7,6,7,9,7.2,"3","HUMANS"
"vanityfair",9,5,6,8,7,"3","HUMANS"
"gamespot",9,7,3,8,6.8,"3","HUMANS"
"gizmodo",10,8,2,7,6.8,"3","HUMANS"
"independent",8,8,4,7,6.8,"3","HUMANS"
"newyorktimes",7,5,8,7,6.8,"3","HUMANS"
"people",6,6,6,9,6.8,"3","HUMANS"
"buzzfeed",6,8,3,9,6.5,"3","HUMANS"
"verge",8,6,5,7,6.5,"3","HUMANS"
"wallstreetjournal",6,5,5,10,6.5,"3","HUMANS"
"cbr",8,6,3,8,6.2,"3","HUMANS"
"newsweek",9,5,2,9,6.2,"3","HUMANS"
"wrap",8,4,8,5,6.2,"3","HUMANS"
"comicbook",8,5,7,4,6,"3","HUMANS"
"huffingtonpost",9,8,6,1,6,"3","HUMANS"
"losangelestimes",5,5,7,7,6,"3","HUMANS"
"usweekly",7,5,5,7,6,"3","HUMANS"
"cnn",9,8,5,1,5.8,"3","HUMANS"
"salon",7,6,4,6,5.8,"3","HUMANS"
"cinemablend",8,6,7,1,5.5,"3","HUMANS"
"dailybeast",5,6,5,6,5.5,"3","HUMANS"
"gamesradar",9,6,1,6,5.5,"3","HUMANS"
"forbes",7,8,6,10,7.8,"1","INTO THE BADLANDS"
"engadget",8,7,5,7,6.8,"1","INTO THE BADLANDS"
"gamespot",9,7,3,8,6.8,"1","INTO THE BADLANDS"
"gizmodo",10,8,2,7,6.8,"1","INTO THE BADLANDS"
"independent",8,8,4,7,6.8,"1","INTO THE BADLANDS"
"people",6,6,6,9,6.8,"1","INTO THE BADLANDS"
"buzzfeed",6,8,3,9,6.5,"1","INTO THE BADLANDS"
"verge",8,6,5,7,6.5,"1","INTO THE BADLANDS"
"wallstreetjournal",6,5,5,10,6.5,"1","INTO THE BADLANDS"
"cbr",8,6,3,8,6.2,"1","INTO THE BADLANDS"
"newsweek",9,5,2,9,6.2,"1","INTO THE BADLANDS"
"digitalspy",7,7,7,3,6,"1","INTO THE BADLANDS"
"huffingtonpost",9,8,6,1,6,"1","INTO THE BADLANDS"
"usweekly",7,5,5,7,6,"1","INTO THE BADLANDS"
"cnn",9,8,5,1,5.8,"1","INTO THE BADLANDS"
"cinemablend",8,6,7,1,5.5,"1","INTO THE BADLANDS"
"gamesradar",9,6,1,6,5.5,"1","INTO THE BADLANDS"
"businessinsider",7,8,5,1,5.2,"1","INTO THE BADLANDS"
"dailymail",6,9,5,1,5.2,"1","INTO THE BADLANDS"
"eonline",9,7,4,1,5.2,"1","INTO THE BADLANDS"
"fox",9,7,4,1,5.2,"1","INTO THE BADLANDS"
"newyorkdailynews",9,2,5,5,5.2,"1","INTO THE BADLANDS"
"popsugar",7,7,4,3,5.2,"1","INTO THE BADLANDS"
"refinery29",3,6,2,10,5.2,"1","INTO THE BADLANDS"
"screenrant",7,5,7,2,5.2,"1","INTO THE BADLANDS"
"forbes",7,8,6,10,7.8,"2","INTO THE BADLANDS"
"mashable",7,7,6,9,7.2,"2","INTO THE BADLANDS"
"rollingstone",7,6,7,9,7.2,"2","INTO THE BADLANDS"
"vanityfair",9,5,6,8,7,"2","INTO THE BADLANDS"
"engadget",8,7,5,7,6.8,"2","INTO THE BADLANDS"
"gamespot",9,7,3,8,6.8,"2","INTO THE BADLANDS"
"independent",8,8,4,7,6.8,"2","INTO THE BADLANDS"
"people",6,6,6,9,6.8,"2","INTO THE BADLANDS"
"buzzfeed",6,8,3,9,6.5,"2","INTO THE BADLANDS"
"verge",8,6,5,7,6.5,"2","INTO THE BADLANDS"
"wallstreetjournal",6,5,5,10,6.5,"2","INTO THE BADLANDS"
"cbr",8,6,3,8,6.2,"2","INTO THE BADLANDS"
"newsweek",9,5,2,9,6.2,"2","INTO THE BADLANDS"
"digitalspy",7,7,7,3,6,"2","INTO THE BADLANDS"
"huffingtonpost",9,8,6,1,6,"2","INTO THE BADLANDS"
"losangelestimes",5,5,7,7,6,"2","INTO THE BADLANDS"
"uproxx",8,5,9,2,6,"2","INTO THE BADLANDS"
"usweekly",7,5,5,7,6,"2","INTO THE BADLANDS"
"cnn",9,8,5,1,5.8,"2","INTO THE BADLANDS"
"salon",7,6,4,6,5.8,"2","INTO THE BADLANDS"
"tvline",6,5,9,3,5.8,"2","INTO THE BADLANDS"
"cinemablend",8,6,7,1,5.5,"2","INTO THE BADLANDS"
"dailybeast",5,6,5,6,5.5,"2","INTO THE BADLANDS"
"gamesradar",9,6,1,6,5.5,"2","INTO THE BADLANDS"
"nytimes",7,7,7,1,5.5,"2","INTO THE BADLANDS"
"forbes",7,8,6,10,7.8,"3","INTO THE BADLANDS"
"hollywoodreporter",8,6,9,7,7.5,"3","INTO THE BADLANDS"
"mashable",7,7,6,9,7.2,"3","INTO THE BADLANDS"
"rollingstone",7,6,7,9,7.2,"3","INTO THE BADLANDS"
"vanityfair",9,5,6,8,7,"3","INTO THE BADLANDS"
"engadget",8,7,5,7,6.8,"3","INTO THE BADLANDS"
"gamespot",9,7,3,8,6.8,"3","INTO THE BADLANDS"
"gizmodo",10,8,2,7,6.8,"3","INTO THE BADLANDS"
"independent",8,8,4,7,6.8,"3","INTO THE BADLANDS"
"people",6,6,6,9,6.8,"3","INTO THE BADLANDS"
"buzzfeed",6,8,3,9,6.5,"3","INTO THE BADLANDS"
"verge",8,6,5,7,6.5,"3","INTO THE BADLANDS"
"wallstreetjournal",6,5,5,10,6.5,"3","INTO THE BADLANDS"
"cbr",8,6,3,8,6.2,"3","INTO THE BADLANDS"
"newsweek",9,5,2,9,6.2,"3","INTO THE BADLANDS"
"avclub",6,6,8,4,6,"3","INTO THE BADLANDS"
"digitalspy",7,7,7,3,6,"3","INTO THE BADLANDS"
"huffingtonpost",9,8,6,1,6,"3","INTO THE BADLANDS"
"usweekly",7,5,5,7,6,"3","INTO THE BADLANDS"
"cnn",9,8,5,1,5.8,"3","INTO THE BADLANDS"
"salon",7,6,4,6,5.8,"3","INTO THE BADLANDS"
"cinemablend",8,6,7,1,5.5,"3","INTO THE BADLANDS"
"dailybeast",5,6,5,6,5.5,"3","INTO THE BADLANDS"
"gamesradar",9,6,1,6,5.5,"3","INTO THE BADLANDS"
"nytimes",7,7,7,1,5.5,"3","INTO THE BADLANDS"
"forbes",7,8,6,10,7.8,"1","LITTLE DRUMMER GIRL"
"mashable",7,7,6,9,7.2,"1","LITTLE DRUMMER GIRL"
"vanityfair",9,5,6,8,7,"1","LITTLE DRUMMER GIRL"
"engadget",8,7,5,7,6.8,"1","LITTLE DRUMMER GIRL"
"gamespot",9,7,3,8,6.8,"1","LITTLE DRUMMER GIRL"
"gizmodo",10,8,2,7,6.8,"1","LITTLE DRUMMER GIRL"
"independent",8,8,4,7,6.8,"1","LITTLE DRUMMER GIRL"
"buzzfeed",6,8,3,9,6.5,"1","LITTLE DRUMMER GIRL"
"wallstreetjournal",6,5,5,10,6.5,"1","LITTLE DRUMMER GIRL"
"cbr",8,6,3,8,6.2,"1","LITTLE DRUMMER GIRL"
"newsweek",9,5,2,9,6.2,"1","LITTLE DRUMMER GIRL"
"avclub",6,6,8,4,6,"1","LITTLE DRUMMER GIRL"
"comicbook",8,5,7,4,6,"1","LITTLE DRUMMER GIRL"
"huffingtonpost",9,8,6,1,6,"1","LITTLE DRUMMER GIRL"
"losangelestimes",5,5,7,7,6,"1","LITTLE DRUMMER GIRL"
"usweekly",7,5,5,7,6,"1","LITTLE DRUMMER GIRL"
"cnn",9,8,5,1,5.8,"1","LITTLE DRUMMER GIRL"
"salon",7,6,4,6,5.8,"1","LITTLE DRUMMER GIRL"
"cinemablend",8,6,7,1,5.5,"1","LITTLE DRUMMER GIRL"
"gamesradar",9,6,1,6,5.5,"1","LITTLE DRUMMER GIRL"
"nytimes",7,7,7,1,5.5,"1","LITTLE DRUMMER GIRL"
"businessinsider",7,8,5,1,5.2,"1","LITTLE DRUMMER GIRL"
"eonline",9,7,4,1,5.2,"1","LITTLE DRUMMER GIRL"
"ibtimes",8,5,6,2,5.2,"1","LITTLE DRUMMER GIRL"
"newyorkdailynews",9,2,5,5,5.2,"1","LITTLE DRUMMER GIRL"
"forbes",7,8,6,10,7.8,"1","LODGE 49"
"mashable",7,7,6,9,7.2,"1","LODGE 49"
"engadget",8,7,5,7,6.8,"1","LODGE 49"
"gamespot",9,7,3,8,6.8,"1","LODGE 49"
"gizmodo",10,8,2,7,6.8,"1","LODGE 49"
"independent",8,8,4,7,6.8,"1","LODGE 49"
"newyorktimes",7,5,8,7,6.8,"1","LODGE 49"
"buzzfeed",6,8,3,9,6.5,"1","LODGE 49"
"verge",8,6,5,7,6.5,"1","LODGE 49"
"wallstreetjournal",6,5,5,10,6.5,"1","LODGE 49"
"newsweek",9,5,2,9,6.2,"1","LODGE 49"
"wrap",8,4,8,5,6.2,"1","LODGE 49"
"comicbook",8,5,7,4,6,"1","LODGE 49"
"huffingtonpost",9,8,6,1,6,"1","LODGE 49"
"losangelestimes",5,5,7,7,6,"1","LODGE 49"
"usweekly",7,5,5,7,6,"1","LODGE 49"
"cnn",9,8,5,1,5.8,"1","LODGE 49"
"salon",7,6,4,6,5.8,"1","LODGE 49"
"cinemablend",8,6,7,1,5.5,"1","LODGE 49"
"gamesradar",9,6,1,6,5.5,"1","LODGE 49"
"usatoday",6,7,8,1,5.5,"1","LODGE 49"
"dailymail",6,9,5,1,5.2,"1","LODGE 49"
"eonline",9,7,4,1,5.2,"1","LODGE 49"
"fox",9,7,4,1,5.2,"1","LODGE 49"
"ibtimes",8,5,6,2,5.2,"1","LODGE 49"
"mashable",7,7,6,9,7.2,"7A","MAD MEN"
"engadget",8,7,5,7,6.8,"7A","MAD MEN"
"gamespot",9,7,3,8,6.8,"7A","MAD MEN"
"gizmodo",10,8,2,7,6.8,"7A","MAD MEN"
"independent",8,8,4,7,6.8,"7A","MAD MEN"
"verge",8,6,5,7,6.5,"7A","MAD MEN"
"cbr",8,6,3,8,6.2,"7A","MAD MEN"
"newsweek",9,5,2,9,6.2,"7A","MAD MEN"
"comicbook",8,5,7,4,6,"7A","MAD MEN"
"dailybeast",5,6,5,6,5.5,"7A","MAD MEN"
"gamesradar",9,6,1,6,5.5,"7A","MAD MEN"
"comingsoon",7,3,9,2,5.2,"7A","MAD MEN"
"fox",9,7,4,1,5.2,"7A","MAD MEN"
"ibtimes",8,5,6,2,5.2,"7A","MAD MEN"
"popsugar",7,7,4,3,5.2,"7A","MAD MEN"
"refinery29",3,6,2,10,5.2,"7A","MAD MEN"
"bustle",7,6,6,1,5,"7A","MAD MEN"
"moviefone",9,5,5,1,5,"7A","MAD MEN"
"msn",7,8,4,1,5,"7A","MAD MEN"
"ajc",8,5,5,1,4.8,"7A","MAD MEN"
"aptv",10,6,2,1,4.8,"7A","MAD MEN"
"blastingnews",9,8,1,1,4.8,"7A","MAD MEN"
"digitaltrends",10,7,1,1,4.8,"7A","MAD MEN"
"fandom",10,7,1,1,4.8,"7A","MAD MEN"
"huffingtonpostlive",9,8,1,1,4.8,"7A","MAD MEN"
"engadget",8,7,5,7,6.8,"7B","MAD MEN"
"gamespot",9,7,3,8,6.8,"7B","MAD MEN"
"gizmodo",10,8,2,7,6.8,"7B","MAD MEN"
"newyorktimes",7,5,8,7,6.8,"7B","MAD MEN"
"buzzfeed",6,8,3,9,6.5,"7B","MAD MEN"
"cbr",8,6,3,8,6.2,"7B","MAD MEN"
"gamesradar",9,6,1,6,5.5,"7B","MAD MEN"
"newyorkdailynews",9,2,5,5,5.2,"7B","MAD MEN"
"popsugar",7,7,4,3,5.2,"7B","MAD MEN"
"collider",7,3,8,2,5,"7B","MAD MEN"
"hollywoodlife",6,5,5,4,5,"7B","MAD MEN"
"rottentomatoes",6,7,6,1,5,"7B","MAD MEN"
"ajc",8,5,5,1,4.8,"7B","MAD MEN"
"aptv",10,6,2,1,4.8,"7B","MAD MEN"
"blastingnews",9,8,1,1,4.8,"7B","MAD MEN"
"digitaltrends",10,7,1,1,4.8,"7B","MAD MEN"
"fandom",10,7,1,1,4.8,"7B","MAD MEN"
"goodmorningamerica",6,4,1,8,4.8,"7B","MAD MEN"
"huffingtonpostlive",9,8,1,1,4.8,"7B","MAD MEN"
"inquisitr",7,5,6,1,4.8,"7B","MAD MEN"
"justjared",6,4,4,5,4.8,"7B","MAD MEN"
"metro",8,5,5,1,4.8,"7B","MAD MEN"
"moviepilot",9,4,5,1,4.8,"7B","MAD MEN"
"thr",10,7,1,1,4.8,"7B","MAD MEN"
"cheatsheet",9,5,3,1,4.5,"7B","MAD MEN"
"yahoo",8,9,10,5,8,"1","MCMAFIA"
"forbes",7,8,6,10,7.8,"1","MCMAFIA"
"imdb",6,10,7,8,7.8,"1","MCMAFIA"
"mashable",7,7,6,9,7.2,"1","MCMAFIA"
"rollingstone",7,6,7,9,7.2,"1","MCMAFIA"
"vanityfair",9,5,6,8,7,"1","MCMAFIA"
"engadget",8,7,5,7,6.8,"1","MCMAFIA"
"gamespot",9,7,3,8,6.8,"1","MCMAFIA"
"gizmodo",10,8,2,7,6.8,"1","MCMAFIA"
"independent",8,8,4,7,6.8,"1","MCMAFIA"
"buzzfeed",6,8,3,9,6.5,"1","MCMAFIA"
"verge",8,6,5,7,6.5,"1","MCMAFIA"
"cbr",8,6,3,8,6.2,"1","MCMAFIA"
"newsweek",9,5,2,9,6.2,"1","MCMAFIA"
"wrap",8,4,8,5,6.2,"1","MCMAFIA"
"comicbook",8,5,7,4,6,"1","MCMAFIA"
"digitalspy",7,7,7,3,6,"1","MCMAFIA"
"huffingtonpost",9,8,6,1,6,"1","MCMAFIA"
"losangelestimes",5,5,7,7,6,"1","MCMAFIA"
"usweekly",7,5,5,7,6,"1","MCMAFIA"
"cinemablend",8,6,7,1,5.5,"1","MCMAFIA"
"dailybeast",5,6,5,6,5.5,"1","MCMAFIA"
"gamesradar",9,6,1,6,5.5,"1","MCMAFIA"
"nytimes",7,7,7,1,5.5,"1","MCMAFIA"
"washingtonpost",6,7,8,1,5.5,"1","MCMAFIA"
"engadget",8,7,5,7,6.8,"1","NIGHT MANAGER, THE"
"gamespot",9,7,3,8,6.8,"1","NIGHT MANAGER, THE"
"gizmodo",10,8,2,7,6.8,"1","NIGHT MANAGER, THE"
"cbr",8,6,3,8,6.2,"1","NIGHT MANAGER, THE"
"newsweek",9,5,2,9,6.2,"1","NIGHT MANAGER, THE"
"comicbook",8,5,7,4,6,"1","NIGHT MANAGER, THE"
"losangelestimes",5,5,7,7,6,"1","NIGHT MANAGER, THE"
"usweekly",7,5,5,7,6,"1","NIGHT MANAGER, THE"
"cnn",9,8,5,1,5.8,"1","NIGHT MANAGER, THE"
"salon",7,6,4,6,5.8,"1","NIGHT MANAGER, THE"
"cinemablend",8,6,7,1,5.5,"1","NIGHT MANAGER, THE"
"gamesradar",9,6,1,6,5.5,"1","NIGHT MANAGER, THE"
"businessinsider",7,8,5,1,5.2,"1","NIGHT MANAGER, THE"
"eonline",9,7,4,1,5.2,"1","NIGHT MANAGER, THE"
"fox",9,7,4,1,5.2,"1","NIGHT MANAGER, THE"
"refinery29",3,6,2,10,5.2,"1","NIGHT MANAGER, THE"
"screenrant",7,5,7,2,5.2,"1","NIGHT MANAGER, THE"
"hollywoodlife",6,5,5,4,5,"1","NIGHT MANAGER, THE"
"moviefone",9,5,5,1,5,"1","NIGHT MANAGER, THE"
"msn",7,8,4,1,5,"1","NIGHT MANAGER, THE"
"rottentomatoes",6,7,6,1,5,"1","NIGHT MANAGER, THE"
"ajc",8,5,5,1,4.8,"1","NIGHT MANAGER, THE"
"aptv",10,6,2,1,4.8,"1","NIGHT MANAGER, THE"
"blastingnews",9,8,1,1,4.8,"1","NIGHT MANAGER, THE"
"digitaltrends",10,7,1,1,4.8,"1","NIGHT MANAGER, THE"
"engadget",8,7,5,7,6.8,"1","PREACHER"
"gizmodo",10,8,2,7,6.8,"1","PREACHER"
"independent",8,8,4,7,6.8,"1","PREACHER"
"cbr",8,6,3,8,6.2,"1","PREACHER"
"newsweek",9,5,2,9,6.2,"1","PREACHER"
"usweekly",7,5,5,7,6,"1","PREACHER"
"cnn",9,8,5,1,5.8,"1","PREACHER"
"salon",7,6,4,6,5.8,"1","PREACHER"
"gamesradar",9,6,1,6,5.5,"1","PREACHER"
"businessinsider",7,8,5,1,5.2,"1","PREACHER"
"eonline",9,7,4,1,5.2,"1","PREACHER"
"newyorkdailynews",9,2,5,5,5.2,"1","PREACHER"
"popsugar",7,7,4,3,5.2,"1","PREACHER"
"refinery29",3,6,2,10,5.2,"1","PREACHER"
"hollywoodlife",6,5,5,4,5,"1","PREACHER"
"msn",7,8,4,1,5,"1","PREACHER"
"parade",7,6,6,1,5,"1","PREACHER"
"rottentomatoes",6,7,6,1,5,"1","PREACHER"
"vogue",3,4,3,10,5,"1","PREACHER"
"ajc",8,5,5,1,4.8,"1","PREACHER"
"aptv",10,6,2,1,4.8,"1","PREACHER"
"blastingnews",9,8,1,1,4.8,"1","PREACHER"
"fandom",10,7,1,1,4.8,"1","PREACHER"
"goodmorningamerica",6,4,1,8,4.8,"1","PREACHER"
"inquisitr",7,5,6,1,4.8,"1","PREACHER"
"forbes",7,8,6,10,7.8,"2","PREACHER"
"gamespot",9,7,3,8,6.8,"2","PREACHER"
"wallstreetjournal",6,5,5,10,6.5,"2","PREACHER"
"newsweek",9,5,2,9,6.2,"2","PREACHER"
"huffingtonpost",9,8,6,1,6,"2","PREACHER"
"usweekly",7,5,5,7,6,"2","PREACHER"
"cnn",9,8,5,1,5.8,"2","PREACHER"
"gamesradar",9,6,1,6,5.5,"2","PREACHER"
"nytimes",7,7,7,1,5.5,"2","PREACHER"
"washingtonpost",6,7,8,1,5.5,"2","PREACHER"
"businessinsider",7,8,5,1,5.2,"2","PREACHER"
"dailymail",6,9,5,1,5.2,"2","PREACHER"
"eonline",9,7,4,1,5.2,"2","PREACHER"
"fox",9,7,4,1,5.2,"2","PREACHER"
"latimes",6,6,8,1,5.2,"2","PREACHER"
"popsugar",7,7,4,3,5.2,"2","PREACHER"
"refinery29",3,6,2,10,5.2,"2","PREACHER"
"bostonglobe",7,3,5,5,5,"2","PREACHER"
"time",7,6,6,1,5,"2","PREACHER"
"wsj",6,7,6,1,5,"2","PREACHER"
"ajc",8,5,5,1,4.8,"2","PREACHER"
"aptv",10,6,2,1,4.8,"2","PREACHER"
"blastingnews",9,8,1,1,4.8,"2","PREACHER"
"broadwayworld",6,2,8,3,4.8,"2","PREACHER"
"digitaltrends",10,7,1,1,4.8,"2","PREACHER"
"yahoo",8,9,10,5,8,"3","PREACHER"
"forbes",7,8,6,10,7.8,"3","PREACHER"
